CVE_MUN,NOM_MUN
374,Santa Cruz Acatepec
376,Santa Cruz de Bravo
379,Santa Cruz Nundaco
381,Santa Cruz Tacache de Mina
382,Santa Cruz Tacahua
218,San Juan Teita
221,San Juan Teposcolula
239,San Martin Huamelulpam
242,San Martin Peras
129,San Cristobal Suchixtlahuaca
142,San Francisco Huehuetlan
144,San Francisco Jaltepetongo
151,San Francisco Teopan
245,San Martin Zacatepec
249,San Mateo Yoloxochitlan
250,San Mateo Etlatongo
152,San Francisco Tlapancingo
160,San Jeronimo Silacayoapilla
172,San Juan Achiutla
176,San Juan Bautista Coixtlahuaca
251,San Mateo Nejapam
255,San Mateo Sindihui
256,San Mateo Tlapiltepec
180,San Juan Bautista Lo de Soto
181,San Juan Bautista Suchitepec
258,San Miguel Achiutla
259,San Miguel Ahuehuetitlan
015,Coatecas Altas
019,Concepcion Papalo
038,Villa Hidalgo
040,Huautepec
041,Huautla de Jimenez
111,San Antonio Tepetlapa
121,San Bartolo Soyaltepec
133,San Esteban Atatlahuca
148,San Francisco Ozolotepec
165,San Jose Ayuquila
269,San Miguel el Grande
188,San Juan Colorado
195,San Juan Diuxi
199,San Juan Ihualtepec
303,San Pedro Cajonos
168,San Jose Estancia Grande
270,San Miguel Huautla
329,San Pedro Teozacoalco
339,San Pedro y San Pablo Teposcolula
340,San Pedro y San Pablo Tequixtepec
341,San Pedro Yucunama
345,San Sebastian Ixcapa
348,San Sebastian Tecomaxtlahuaca
364,Santa Catarina Juquila
371,Santa Catarina Ticua
001,Abejones
002,Acatlan de Perez Figueroa
008,Asuncion Tlacolulita
009,Ayotzintepec
137,San Francisco Cahuacua
153,San Gabriel Mixtepec
158,San Jacinto Tlacotepec
163,San Jeronimo Tecoatl
177,San Juan Bautista Cuicatlan
185,San Juan Cacahuatepec
186,San Juan Cieneguilla
202,San Juan Lachao
206,San Juan de los Cues
031,Tamazulapam del Espiritu Santo
337,San Pedro y San Pablo Ayutla
138,San Francisco Cajonos
455,Santiago Ayuquililla
156,San Ildefonso Villa Alta
542,Taniche
470,Santiago Lachiguiri
281,San Miguel Tecomatlan
042,Ixtlan de Juarez
283,San Miguel Tequixtepec
205,San Juan Lalana
183,San Juan Bautista Tlachichilco
